city,country,lat,lng
London,United Kingdom,51.5156177,-0.0919983
Paris,France,48.859,2.347
Berlin,Germany,52.510885,13.3989367
Stockholm,Sweden,59.3251172,18.0710935
Munich,Germany,48.1371079,11.5753822
Helsinki,Finland,60.1674881,24.9427473
Madrid,Spain,40.4167047,-3.7035825
Dublin,Ireland,53.3493795,-6.2605593
Tallinn,Estonia,59.4372155,24.7453688
Copenhagen,Denmark,55.6867243,12.5700724
Milan,Italy,45.4641943,9.1896346
Zurich,Switzerland,47.3744489,8.5410422
Oslo,Norway,59.9133301,10.7389701
Cambridge,United Kingdom,52.2055314,0.1186637
Kyiv,Ukraine,50.4500336,30.5241361
Vienna,Austria,48.2083537,16.3725042
Brussels,Belgium,50.8465573,4.351697
Manchester,United Kingdom,53.4794892,-2.2451148
Lisbon,Portugal,38.7077507,-9.1365919
Prague,Czech,50.0817718,14.4141475
Warsaw,Poland,52.2319581,21.0067249
Hamburg,Germany,53.550341,10.000654
Oxford,United Kingdom,51.7520131,-1.2578499
