Company ID,Organization Name,Founded Year,Organization Name URL,Headquarters Country,Number of Founders,Age,Hub Binary,B2B Binary,Number Seed Rounds,Avg Seed Investor Distance,Avg Seed Investor Pairwise Distance,Average Seed Investors Portfolio Organizations,Number Seed Investors,Avg Age of Seed Investors,Specific VC in Seed Binary,Target VC in Seed Binary,Hub VC in Seed Binary,Accelerator Funding Binary,Angel Group Funding Binary,Micro VC Funding Binary,Corporate Venture Capital Funding Binary,Homecountry Investor in Seed Binary,Seed Investor Same City,Seed Lead Investor Same City,Seed Lead Investor Same City,Total Seed Funding (M),Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,Other,Success,Exit Binary,Funding Success,Years to Exit,Last Equity Funding Type,Latitude,Longitude,Regional Seed Investor Binary,Overregional Seed Investor Binary,Min Seed Investor Distance,Number Lead Seed Investors,Years to Seed,Regional Lead Seed Investor Binary,Overregional Seed Investor Binary,Overregional Lead Seed Investor Binary,Avg Exits of Seed Investors,Specific Lead VC in Seed Binary,Target Lead VC in Seed Binary,Accelerator Lead Funding Binary,Angel Group Lead Funding Binary,Micro VC Lead Funding Binary,Corporate Venture Capital Lead Funding Binary,Number Seed Investors Same City,Number Seed Lead Investors Same City,Seed Lead Investor Same City,Seed Lead Investor Same City,Number Homecountry Investors,Number Homecountry Lead Investors,Homecountry Lead Investor,Hub Lead VC in Seed Binary,VCs Within 50km,VCs Within 50km,Top University Ecosystem Binary,Top University Ecosystem Binary,Top University Count,Top University Count,Founded Startups in Environment,Successful Startups in Environment,Share Successful Startups in Environment,Share Successful Startups in Environment,Distance to Hub,Minimum Seed VC Distance - Non Lead,Avg Seed VC Distance - Non Lead,Maximum Seed VC Distance - Non Lead,Minimum Lead Seed VC Distance,Avg Lead Seed VC Distance,Maximum Lead Seed VC Distance,Min Seed Investor Pairwise Distance,Max Seed Investor Pairwise Distance,GDP Growth (%) in Funding Year,Investment Volume in First Seed Year (log),Exit Date,Max Seed Investor Distance
16540,Fintex Capital,2007,https://www.crunchbase.com/organization/fintex-capital,United Kingdom,2.0,9,True,True,1,0.0,0.0,32.0,1,3.0,False,False,True,False,False,False,False,True,True,False,False,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,Seed,51.4893335,-0.1440551,True,False,0.0,,9,False,False,False,5.0,False,False,False,False,False,False,1,0,False,False,1,0,False,False,643,643,True,True,5,5,24,9,0.375,0.375,4.639509600861782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,6.803505257608338,,0.0
1347,Sinay,2007,https://www.crunchbase.com/organization/sinay,France,1.0,12,False,True,2,6392.719927958674,10020.179355107715,37.0,3,6.7,False,True,False,True,False,False,False,False,False,False,False,0.525,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,Series A,49.1845208,-0.3584771,False,True,588.7824441739087,2.0,12,False,True,True,68.3,False,False,False,False,False,False,0,0,False,False,0,0,False,False,1,1,False,False,0,0,0,0,0.0,0.0,200.561022259344,8812.012793487236,8812.012793487236,8812.012793487236,588.7824441739087,5183.073495194392,9777.364546214876,9381.876178376142,11154.397955721875,3.16,7.378383712996715,,9777.364546214876
16604,Audacious,2007,https://www.crunchbase.com/organization/audacious,United Kingdom,2.0,4,True,False,4,169.78397999682022,0.0,285.0,1,7.8,False,True,False,False,False,False,False,True,False,False,False,0.97943,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,Seed,53.4794892,-2.2451148,False,True,169.78397999682022,1.0,4,False,True,True,27.0,False,True,False,False,False,False,0,0,False,False,4,1,True,False,28,28,True,True,1,1,0,0,0.0,0.0,0.0,169.78397999682022,169.78397999682022,169.78397999682022,169.78397999682022,169.78397999682022,169.78397999682022,0.0,0.0,3.16,6.68586094706836,,169.78397999682022
1825,Theodo,2007,https://www.crunchbase.com/organization/theodo,France,2.0,0,True,True,1,0.0,0.0,33.0,1,6.0,False,False,True,False,False,False,False,True,True,True,True,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,Seed,48.8534951,2.3483915,True,False,0.0,1.0,0,True,False,False,3.0,False,False,False,False,False,False,1,1,True,True,1,1,True,True,269,269,True,True,4,4,11,5,0.4545454545454545,0.4545454545454545,0.6205248203236772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,6.532043129023321,,0.0
9318,eZelleron,2007,https://www.crunchbase.com/organization/ezelleron,Germany,1.0,2,False,True,2,298.2278091136018,321.55762291504556,66.0,3,6.3,False,False,True,False,False,False,False,True,False,False,False,7.066804,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,11.0,Series B,51.0493286,13.7381437,False,True,100.37440672951983,3.0,2,False,True,True,12.0,False,False,False,False,False,False,0,0,False,False,6,6,True,True,6,6,False,False,0,0,0,0,0.0,0.0,120.8908573177236,0.0,0.0,0.0,100.37440672951983,298.2278091136018,434.9565202999403,0.0,510.2071868684638,3.16,6.55250788703459,2018-01-01,434.9565202999403
21101,Tyromotion,2007,https://www.crunchbase.com/organization/tyromotion,Austria,1.0,9,False,True,1,503.2376042678549,0.0,31.0,1,23.0,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,,Seed,47.0708678,15.4382786,False,True,503.2376042678549,,9,False,True,False,6.0,False,False,False,False,False,False,0,0,False,False,0,0,False,False,5,5,False,False,0,0,0,0,0.0,0.0,144.55538235517747,503.2376042678549,503.2376042678549,503.2376042678549,0.0,0.0,0.0,0.0,0.0,3.16,4.009149716158869,,503.2376042678549
16174,Crescendo Biologics,2007,https://www.crunchbase.com/organization/crescendo-biologics,United Kingdom,1.0,2,True,True,1,121.9471532232023,203.96200054784464,89.2,5,11.4,True,False,True,False,False,False,False,True,True,False,False,7.111488,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,,Venture - Series Unknown,52.2055314,0.1186637,True,True,0.0,1.0,2,False,True,True,20.2,True,False,False,False,False,False,2,0,False,False,4,0,False,True,20,20,True,True,1,1,1,0,0.0,0.0,0.0,0.0,51.275981630729866,117.83654926891391,404.6318395930921,404.6318395930921,404.6318395930921,5.610804683270124,408.81700676053634,3.16,6.55250788703459,,404.6318395930921
9304,SCHAD,2007,https://www.crunchbase.com/organization/schad,Germany,1.0,1,False,True,1,515.0206955303776,0.0,659.0,1,3.0,False,True,False,False,False,False,False,True,False,False,False,0.0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,Series A,51.1776603,14.4248884,False,True,515.0206955303776,,1,False,True,False,125.0,False,False,False,False,False,False,0,0,False,False,1,0,False,False,0,0,False,False,0,0,0,0,0.0,0.0,124.328743435643,515.0206955303776,515.0206955303776,515.0206955303776,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,515.0206955303776
1830,WebInterpret,2007,https://www.crunchbase.com/organization/webinterpret,France,2.0,1,False,True,1,684.9440275875036,0.0,197.0,1,11.0,False,True,True,False,False,False,False,True,False,False,False,1.430193,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,Series A,43.6195225,7.0518158,False,True,684.9440275875036,,1,False,True,False,68.0,False,False,False,False,False,False,0,0,False,False,1,0,False,False,2,2,False,False,0,0,2,0,0.0,0.0,266.02269046775154,684.9440275875036,684.9440275875036,684.9440275875036,0.0,0.0,0.0,0.0,0.0,3.16,6.236956502085953,,684.9440275875036
16622,Fuelmywebsite,2007,https://www.crunchbase.com/organization/fuelmywebsite,United Kingdom,3.0,0,True,True,1,247.0281122570895,0.0,11.0,1,7.0,False,False,False,False,False,False,False,True,False,False,False,0.0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,,Seed,51.4893335,-0.1440551,False,True,247.0281122570895,,0,False,True,False,2.0,False,False,False,False,False,False,0,0,False,False,1,0,False,False,643,643,True,True,5,5,24,9,0.375,0.375,4.639509600861782,247.0281122570895,247.0281122570895,247.0281122570895,0.0,0.0,0.0,0.0,0.0,3.16,7.313886831633462,,247.0281122570895
